state,statecode,countycode,countyname,misc
IL,17,201,Winnebago County,H1
IL,17,203,Woodford County,H1
IN,18,001,Adams County,H1
IN,18,003,Allen County,H1
IN,18,005,Bartholomew County,H1
IN,18,007,Benton County,H1
IN,18,009,Blackford County,H1
IN,18,011,Boone County,H1
IN,18,013,Brown County,H1
IN,18,015,Carroll County,H1
IN,18,017,Cass County,H1
IN,18,019,Clark County,H1
IN,18,021,Clay County,H1
IN,18,023,Clinton County,H1
IN,18,025,Crawford County,H1
IN,18,027,Daviess County,H1
IN,18,029,Dearborn County,H1
IN,18,031,Decatur County,H1
IN,18,033,DeKalb County,H1
IN,18,035,Delaware County,H1
IN,18,037,Dubois County,H1
IN,18,039,Elkhart County,H1
IN,18,041,Fayette County,H1
IN,18,043,Floyd County,H1
IN,18,045,Fountain County,H1
IN,18,047,Franklin County,H1
IN,18,049,Fulton County,H1
IN,18,051,Gibson County,H1
IN,18,053,Grant County,H1
IN,18,055,Greene County,H1
IN,18,057,Hamilton County,H1
IN,18,059,Hancock County,H1
IN,18,061,Harrison County,H1
IN,18,063,Hendricks County,H1
IN,18,065,Henry County,H1
IN,18,067,Howard County,H1
IN,18,069,Huntington County,H1
IN,18,071,Jackson County,H1
IN,18,073,Jasper County,H1
IN,18,075,Jay County,H1
IN,18,077,Jefferson County,H1
IN,18,079,Jennings County,H1
IN,18,081,Johnson County,H1
IN,18,083,Knox County,H1
IN,18,085,Kosciusko County,H1
IN,18,087,LaGrange County,H1
IN,18,089,Lake County,H1
IN,18,091,LaPorte County,H1
IN,18,093,Lawrence County,H1
IN,18,095,Madison County,H1
IN,18,097,Marion County,H6
IN,18,099,Marshall County,H1
IN,18,101,Martin County,H1
IN,18,103,Miami County,H1
IN,18,105,Monroe County,H1
IN,18,107,Montgomery County,H1
IN,18,109,Morgan County,H1
IN,18,111,Newton County,H1
IN,18,113,Noble County,H1
IN,18,115,Ohio County,H1
IN,18,117,Orange County,H1
IN,18,119,Owen County,H1
IN,18,121,Parke County,H1
IN,18,123,Perry County,H1
IN,18,125,Pike County,H1
IN,18,127,Porter County,H1
IN,18,129,Posey County,H1
IN,18,131,Pulaski County,H1
IN,18,133,Putnam County,H1
IN,18,135,Randolph County,H1
IN,18,137,Ripley County,H1
IN,18,139,Rush County,H1
IN,18,141,St. Joseph County,H1
IN,18,143,Scott County,H1
IN,18,145,Shelby County,H1
IN,18,147,Spencer County,H1
IN,18,149,Starke County,H1
IN,18,151,Steuben County,H1
IN,18,153,Sullivan County,H1
IN,18,155,Switzerland County,H1
IN,18,157,Tippecanoe County,H1
IN,18,159,Tipton County,H1
IN,18,161,Union County,H1
IN,18,163,Vanderburgh County,H1
IN,18,165,Vermillion County,H1
IN,18,167,Vigo County,H1
IN,18,169,Wabash County,H1
IN,18,171,Warren County,H1
IN,18,173,Warrick County,H1
IN,18,175,Washington County,H1
IN,18,177,Wayne County,H1
IN,18,179,Wells County,H1
IN,18,181,White County,H1
IN,18,183,Whitley County,H1
IA,19,001,Adair County,H1
IA,19,003,Adams County,H1
IA,19,005,Allamakee County,H1
IA,19,007,Appanoose County,H1
IA,19,009,Audubon County,H1
IA,19,011,Benton County,H1
IA,19,013,Black Hawk County,H1
IA,19,015,Boone County,H1
IA,19,017,Bremer County,H1
IA,19,019,Buchanan County,H1
IA,19,021,Buena Vista County,H1
IA,19,023,Butler County,H1
IA,19,025,Calhoun County,H1
IA,19,027,Carroll County,H1
IA,19,029,Cass County,H1
IA,19,031,Cedar County,H1
IA,19,033,Cerro Gordo County,H1
IA,19,035,Cherokee County,H1
IA,19,037,Chickasaw County,H1
IA,19,039,Clarke County,H1
IA,19,041,Clay County,H1
IA,19,043,Clayton County,H1
IA,19,045,Clinton County,H1
IA,19,047,Crawford County,H1
IA,19,049,Dallas County,H1
IA,19,051,Davis County,H1
IA,19,053,Decatur County,H1
IA,19,055,Delaware County,H1
IA,19,057,Des Moines County,H1
IA,19,059,Dickinson County,H1
IA,19,061,Dubuque County,H1
IA,19,063,Emmet County,H1
IA,19,065,Fayette County,H1
IA,19,067,Floyd County,H1
IA,19,069,Franklin County,H1
IA,19,071,Fremont County,H1
IA,19,073,Greene County,H1
IA,19,075,Grundy County,H1
IA,19,077,Guthrie County,H1
IA,19,079,Hamilton County,H1
IA,19,081,Hancock County,H1
IA,19,083,Hardin County,H1
IA,19,085,Harrison County,H1
IA,19,087,Henry County,H1
IA,19,089,Howard County,H1
IA,19,091,Humboldt County,H1
IA,19,093,Ida County,H1
IA,19,095,Iowa County,H1
IA,19,097,Jackson County,H1
IA,19,099,Jasper County,H1
IA,19,101,Jefferson County,H1
IA,19,103,Johnson County,H1
IA,19,105,Jones County,H1
IA,19,107,Keokuk County,H1
IA,19,109,Kossuth County,H1
IA,19,111,Lee County,H1
IA,19,113,Linn County,H1
IA,19,115,Louisa County,H1
IA,19,117,Lucas County,H1
IA,19,119,Lyon County,H1
IA,19,121,Madison County,H1
IA,19,123,Mahaska County,H1
IA,19,125,Marion County,H1
IA,19,127,Marshall County,H1
IA,19,129,Mills County,H1
IA,19,131,Mitchell County,H1
IA,19,133,Monona County,H1
IA,19,135,Monroe County,H1
IA,19,137,Montgomery County,H1
IA,19,139,Muscatine County,H1
IA,19,141,O'Brien County,H1
IA,19,143,Osceola County,H1
IA,19,145,Page County,H1
IA,19,147,Palo Alto County,H1
IA,19,149,Plymouth County,H1
IA,19,151,Pocahontas County,H1
IA,19,153,Polk County,H1
IA,19,155,Pottawattamie County,H1
IA,19,157,Poweshiek County,H1
IA,19,159,Ringgold County,H1
IA,19,161,Sac County,H1
IA,19,163,Scott County,H1
IA,19,165,Shelby County,H1
IA,19,167,Sioux County,H1
IA,19,169,Story County,H1
IA,19,171,Tama County,H1
IA,19,173,Taylor County,H1
IA,19,175,Union County,H1
IA,19,177,Van Buren County,H1
IA,19,179,Wapello County,H1
IA,19,181,Warren County,H1
IA,19,183,Washington County,H1
IA,19,185,Wayne County,H1
IA,19,187,Webster County,H1
IA,19,189,Winnebago County,H1
IA,19,191,Winneshiek County,H1
IA,19,193,Woodbury County,H1
IA,19,195,Worth County,H1
IA,19,197,Wright County,H1
